SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength	lab
SRR6176025	kernel	CIMBL152		1	m001	TRUE	17858365	250	CIMBL152
SRR6176026	kernel	GY1007		1	m002	TRUE	13390936	250	GY1007
SRR6176027	kernel	GL178		1	m003	TRUE	17968132	250	GL178
SRR6176028	kernel	GEMS66		1	m004	TRUE	3919370	250	GEMS66
SRR6176029	kernel	GEMS65		1	m005	TRUE	15216311	250	GEMS65
SRR6176030	kernel	GEMS9		1	m006	TRUE	18458052	250	GEMS9
SRR6176031	kernel	GEMS6		1	m007	TRUE	29956753	250	GEMS6
SRR6176032	kernel	GEMS62		1	m008	TRUE	20543061	250	GEMS62
SRR6176033	kernel	GEMS61		1	m009	TRUE	15577216	250	GEMS61
SRR6176034	kernel	GEMS64		1	m010	TRUE	14122125	250	GEMS64
SRR6176035	kernel	GEMS63		1	m011	TRUE	17090041	250	GEMS63
SRR6176036	kernel	ZHENG30		1	m012	TRUE	17628283	250	ZHENG30
SRR6176037	kernel	CIMBL96		1	m013	TRUE	19653677	250	CIMBL96
SRR6176038	kernel	CIMBL98		1	m014	TRUE	17841122	250	CIMBL98
SRR6176039	kernel	CIMBL40		1	m015	TRUE	16814575	250	CIMBL40
SRR6176040	kernel	CIMBL90		1	m016	TRUE	15829339	250	CIMBL90
SRR6176041	kernel	CIMBL91		1	m017	TRUE	20347311	250	CIMBL91
SRR6176042	kernel	CIMBL88		1	m018	TRUE	15846077	250	CIMBL88
SRR6176043	kernel	CIMBL89		1	m019	TRUE	18511852	250	CIMBL89
SRR6176044	kernel	CIMBL94		1	m020	TRUE	20039273	250	CIMBL94
SRR6176045	kernel	CIMBL95		1	m021	TRUE	19358253	250	CIMBL95
SRR6176046	kernel	CIMBL92		1	m022	TRUE	17170330	250	CIMBL92
SRR6176047	kernel	CIMBL93		1	m023	TRUE	13246343	250	CIMBL93
SRR6176048	kernel	YE478		1	m024	TRUE	38092763	250	YE478
SRR6176049	kernel	CIMBL122		1	m025	TRUE	17769252	250	CIMBL122
SRR6176050	kernel	CIMBL123		1	m026	TRUE	16240975	250	CIMBL123
SRR6176051	kernel	Y2348		1	m027	TRUE	19984753	250	Y2348
SRR6176052	kernel	CIMBL119		1	m028	TRUE	21387299	250	CIMBL119
SRR6176053	kernel	CIMBL11		1	m029	TRUE	2124395	250	CIMBL11
SRR6176054	kernel	CIMBL120		1	m030	TRUE	17202563	250	CIMBL120
SRR6176055	kernel	CIMBL121		1	m031	TRUE	34756344	250	CIMBL121
SRR6176056	kernel	CIMBL113		1	m032	TRUE	17893094	250	CIMBL113
SRR6176057	kernel	CIMBL114		1	m033	TRUE	18973722	250	CIMBL114
SRR6176058	kernel	ZHENG58		1	m034	TRUE	16412202	250	ZHENG58
SRR6176059	kernel	CIMBL116		1	m035	TRUE	18272628	250	CIMBL116
SRR6176060	kernel	JI63		1	m036	TRUE	3540049	250	JI63
SRR6176061	kernel	JI846		1	m037	TRUE	17854211	250	JI846
SRR6176062	kernel	U8112		1	m038	TRUE	18510341	250	U8112
SRR6176063	kernel	GY386		1	m039	TRUE	32983227	250	GY386
SRR6176064	kernel	GY462		1	m040	TRUE	14354275	250	GY462
SRR6176065	kernel	HUA83-2		1	m041	TRUE	15053393	250	HUA83-2
SRR6176066	kernel	HYS		1	m042	TRUE	3988831	250	HYS
SRR6176067	kernel	HZ4		1	m043	TRUE	17692905	250	HZ4
SRR6176068	kernel	J4112		1	m044	TRUE	16355908	250	J4112
SRR6176069	kernel	JH59		1	m045	TRUE	19121099	250	JH59
SRR6176070	kernel	JH96C		1	m046	TRUE	17527627	250	JH96C
SRR6176071	kernel	CIMBL86		1	m047	TRUE	15561254	250	CIMBL86
SRR6176072	kernel	CIMBL84		1	m048	TRUE	19233982	250	CIMBL84
SRR6176073	kernel	CIMBL43		1	m049	TRUE	19731467	250	CIMBL43
SRR6176074	kernel	CIMBL145		1	m050	TRUE	22361081	250	CIMBL145
SRR6176075	kernel	CIMBL75		1	m051	TRUE	17186890	250	CIMBL75
SRR6176076	kernel	CIMBL74		1	m052	TRUE	4216754	250	CIMBL74
SRR6176077	kernel	CIMBL79		1	m053	TRUE	19109319	250	CIMBL79
SRR6176078	kernel	CIMBL77		1	m054	TRUE	29287035	250	CIMBL77
SRR6176079	kernel	CIMBL81		1	m055	TRUE	18218272	250	CIMBL81
SRR6176080	kernel	CIMBL7		1	m056	TRUE	19332530	250	CIMBL7
SRR6176081	kernel	CIMBL83		1	m057	TRUE	16653170	250	CIMBL83
SRR6176082	kernel	CIMBL82		1	m058	TRUE	16117253	250	CIMBL82
SRR6176083	kernel	CIMBL142		1	m059	TRUE	19442171	250	CIMBL142
SRR6176084	kernel	CIMBL141		1	m060	TRUE	16340240	250	CIMBL141
SRR6176085	kernel	CIMBL157		1	m061	TRUE	19275266	250	CIMBL157
SRR6176086	kernel	CIMBL125		1	m062	TRUE	17497212	250	CIMBL125
SRR6176087	kernel	CIMBL124		1	m063	TRUE	3797613	250	CIMBL124
SRR6176089	kernel	CIMBL127		1	m065	TRUE	15661917	250	CIMBL127
SRR6176090	kernel	CIMBL139		1	m066	TRUE	16861656	250	CIMBL139
SRR6176091	kernel	CIMBL133		1	m067	TRUE	16782435	250	CIMBL133
SRR6176092	kernel	CIMBL140		1	m068	TRUE	19542813	250	CIMBL140
SRR6176093	kernel	CIMBL13		1	m069	TRUE	16610480	250	CIMBL13
SRR6176094	kernel	CIMBL38		1	m070	TRUE	5001595	250	CIMBL38
SRR6176095	kernel	ZHENG29		1	m071	TRUE	18965622	250	ZHENG29
SRR6176096	kernel	LG001		1	m072	TRUE	15804447	250	LG001
SRR6176097	kernel	L3180		1	m073	TRUE	22285982	250	L3180
SRR6176098	kernel	K22		1	m074	TRUE	21363503	250	K22
SRR6176099	kernel	K12		1	m075	TRUE	18385999	250	K12
SRR6176100	kernel	K10		1	m076	TRUE	19384122	250	K10
SRR6176101	kernel	JY01		1	m077	TRUE	16386164	250	JY01
SRR6176102	kernel	JIAO51		1	m078	TRUE	19007765	250	JIAO51
SRR6176103	kernel	JI853		1	m079	TRUE	15787628	250	JI853
SRR6176104	kernel	ZZ01		1	m080	TRUE	17181249	250	ZZ01
SRR6176105	kernel	ZZ03		1	m081	TRUE	20134995	250	ZZ03
SRR6176106	kernel	ZHONG69		1	m082	TRUE	19233395	250	ZHONG69
SRR6176107	kernel	ZI330		1	m083	TRUE	18276523	250	ZI330
SRR6176108	kernel	ZHENG653		1	m084	TRUE	17300161	250	ZHENG653
SRR6176109	kernel	ZHI41		1	m085	TRUE	15656018	250	ZHI41
SRR6176110	kernel	LIAO159		1	m086	TRUE	21553159	250	LIAO159
SRR6176111	kernel	LIAO138		1	m087	TRUE	17868086	250	LIAO138
SRR6176112	kernel	ZHENG28		1	m088	TRUE	15880195	250	ZHENG28
SRR6176113	kernel	CIMBL15		1	m089	TRUE	27012899	250	CIMBL15
SRR6176114	kernel	CIMBL153		1	m090	TRUE	17490540	250	CIMBL153
SRR6176115	kernel	177		1	m091	TRUE	17630607	250	177
SRR6176116	kernel	335F		1	m092	TRUE	19593032	250	335F
SRR6176117	kernel	CIMBL16		1	m093	TRUE	16881399	250	CIMBL16
SRR6176118	kernel	CML290		1	m094	TRUE	18521018	250	CML290
SRR6176119	kernel	CML298		1	m095	TRUE	4906139	250	CML298
SRR6176120	kernel	CML189		1	m096	TRUE	18697034	250	CML189
SRR6176122	kernel	CML192		1	m098	TRUE	15421875	250	CML192
SRR6176123	kernel	CML20		1	m099	TRUE	18806773	250	CML20
SRR6176124	kernel	CML165		1	m100	TRUE	6826493	250	CML165
SRR6176125	kernel	CML170		1	m101	TRUE	18184690	250	CML170
SRR6176126	kernel	CML171		1	m102	TRUE	17007736	250	CML171
SRR6176127	kernel	CML172		1	m103	TRUE	18520299	250	CML172
SRR6176128	kernel	835B		1	m104	TRUE	15004149	250	835B
SRR6176129	kernel	9642		1	m105	TRUE	15949574	250	9642
SRR6176130	kernel	TY4		1	m106	TRUE	20504000	250	TY4
SRR6176131	kernel	478-BC6		1	m107	TRUE	4180887	250	478-BC6
SRR6176132	kernel	4F1		1	m108	TRUE	21309875	250	4F1
SRR6176133	kernel	5213		1	m109	TRUE	14969612	250	5213
SRR6176134	kernel	526018		1	m110	TRUE	18102920	250	526018
SRR6176135	kernel	647		1	m111	TRUE	19204538	250	647
SRR6176136	kernel	7327		1	m112	TRUE	20805951	250	7327
SRR6176137	kernel	7884-4HT		1	m113	TRUE	22718149	250	7884-4HT
SRR6176139	kernel	LK11		1	m115	TRUE	17455654	250	LK11
SRR6176140	kernel	LV28		1	m116	TRUE	18880266	250	LV28
SRR6176141	kernel	LIAO5114		1	m117	TRUE	16738711	250	LIAO5114
SRR6176142	kernel	LIAO5262		1	m118	TRUE	21166658	250	LIAO5262
SRR6176143	kernel	M153		1	m119	TRUE	15333871	250	M153
SRR6176144	kernel	M97		1	m120	TRUE	16450792	250	M97
SRR6176145	kernel	LX9801		1	m121	TRUE	18739607	250	LX9801
SRR6176146	kernel	LY042		1	m122	TRUE	4862680	250	LY042
SRR6176147	kernel	ZAC546		1	m123	TRUE	4715360	250	ZAC546
SRR6176148	kernel	SY1032		1	m124	TRUE	17271960	250	SY1032
SRR6176149	kernel	MO113		1	m125	TRUE	16762007	250	MO113
SRR6176150	kernel	MO17		1	m126	TRUE	25560136	250	MO17
SRR6176151	kernel	05W002		1	m127	TRUE	20446231	250	05W002
SRR6176152	kernel	05WN230		1	m128	TRUE	18239084	250	05WN230
SRR6176153	kernel	07KS4		1	m129	TRUE	21707793	250	07KS4
SRR6176154	kernel	1462		1	m130	TRUE	16220099	250	1462
SRR6176155	kernel	CIMBL129		1	m131	TRUE	18419250	250	CIMBL129
SRR6176156	kernel	CIMBL156		1	m132	TRUE	18326658	250	CIMBL156
SRR6176157	kernel	SW92E114		1	m133	TRUE	17794142	250	SW92E114
SRR6176158	kernel	CIMBL115		1	m134	TRUE	18030993	250	CIMBL115
SRR6176159	kernel	150		1	m135	TRUE	15630006	250	150
SRR6176160	kernel	CIMBL23		1	m136	TRUE	20599070	250	CIMBL23
SRR6176161	kernel	CML163		1	m137	TRUE	17449414	250	CML163
SRR6176162	kernel	CML162		1	m138	TRUE	16611073	250	CML162
SRR6176163	kernel	CIMBL1		1	m139	TRUE	11859193	250	CIMBL1
SRR6176164	kernel	CIMBL19		1	m140	TRUE	15742576	250	CIMBL19
SRR6176165	kernel	CIMBL18		1	m141	TRUE	19077823	250	CIMBL18
SRR6176166	kernel	CIMBL17		1	m142	TRUE	24103609	250	CIMBL17
SRR6176167	kernel	CML118		1	m143	TRUE	17791147	250	CML118
SRR6176168	kernel	CML116		1	m144	TRUE	21792590	250	CML116
SRR6176169	kernel	CML115		1	m145	TRUE	19471593	250	CML115
SRR6176170	kernel	CML114		1	m146	TRUE	19437430	250	CML114
SRR6176171	kernel	CML139		1	m147	TRUE	19556288	250	CML139
SRR6176172	kernel	CML130		1	m148	TRUE	23364907	250	CML130
SRR6176173	kernel	CML122		1	m149	TRUE	26232308	250	CML122
SRR6176174	kernel	CML121		1	m150	TRUE	18953660	250	CML121
SRR6176175	kernel	B151		1	m151	TRUE	19634403	250	B151
SRR6176176	kernel	B11		1	m152	TRUE	17883338	250	B11
SRR6176177	kernel	BY4839		1	m153	TRUE	13147946	250	BY4839
SRR6176178	kernel	B77		1	m154	TRUE	18262299	250	B77
SRR6176179	kernel	B110		1	m155	TRUE	15903048	250	B110
SRR6176180	kernel	975-12		1	m156	TRUE	22722962	250	975-12
SRR6176181	kernel	B113		1	m157	TRUE	17626260	250	B113
SRR6176182	kernel	B111		1	m158	TRUE	16597876	250	B111
SRR6176183	kernel	GEMS4		1	m159	TRUE	18546234	250	GEMS4
SRR6176184	kernel	BY4960		1	m160	TRUE	19573687	250	BY4960
SRR6176185	kernel	BY4944		1	m161	TRUE	19517008	250	BY4944
SRR6176186	kernel	GEMS60		1	m162	TRUE	17567332	250	GEMS60
SRR6176187	kernel	P178		1	m163	TRUE	18392982	250	P178
SRR6176188	kernel	P138		1	m164	TRUE	29379928	250	P138
SRR6176189	kernel	QI205		1	m165	TRUE	18369146	250	QI205
SRR6176190	kernel	Q319-BC6		1	m166	TRUE	16931213	250	Q319-BC6
SRR6176191	kernel	R15		1	m167	TRUE	2769246	250	R15
SRR6176192	kernel	QI319		1	m168	TRUE	19195529	250	QI319
SRR6176193	kernel	RY729		1	m169	TRUE	18881018	250	RY729
SRR6176194	kernel	RY713		1	m170	TRUE	17237570	250	RY713
SRR6176195	kernel	SI273		1	m171	TRUE	17952221	250	SI273
SRR6176196	kernel	SHEN5003		1	m172	TRUE	2257286	250	SHEN5003
SRR6176197	kernel	Z2018F		1	m173	TRUE	7029699	250	Z2018F
SRR6176198	kernel	CIMBL21		1	m174	TRUE	9864639	250	CIMBL21
SRR6176199	kernel	ZH68		1	m175	TRUE	13552724	250	ZH68
SRR6176200	kernel	CIMBL29		1	m176	TRUE	18290086	250	CIMBL29
SRR6176201	kernel	ZB648		1	m177	TRUE	20924291	250	ZB648
SRR6176202	kernel	CIMBL144		1	m178	TRUE	19480212	250	CIMBL144
SRR6176203	kernel	CIMBL150		1	m179	TRUE	15607429	250	CIMBL150
SRR6176204	kernel	YU374		1	m180	TRUE	20558498	250	YU374
SRR6176205	kernel	YE52106		1	m181	TRUE	21278545	250	YE52106
SRR6176206	kernel	CML486		1	m182	TRUE	18287852	250	CML486
SRR6176207	kernel	CML493		1	m183	TRUE	16997049	250	CML493
SRR6176208	kernel	CML454		1	m184	TRUE	20895320	250	CML454
SRR6176209	kernel	CML479		1	m185	TRUE	14017395	250	CML479
SRR6176210	kernel	CML426		1	m186	TRUE	18082346	250	CML426
SRR6176211	kernel	CML433		1	m187	TRUE	17714576	250	CML433
SRR6176212	kernel	CML415		1	m188	TRUE	17390242	250	CML415
SRR6176213	kernel	CML423		1	m189	TRUE	15834631	250	CML423
SRR6176214	kernel	GEMS49		1	m190	TRUE	16893823	250	GEMS49
SRR6176215	kernel	CIMBL48		1	m191	TRUE	20072506	250	CIMBL48
SRR6176216	kernel	CIMBL3		1	m192	TRUE	17527091	250	CIMBL3
SRR6176217	kernel	CML496		1	m193	TRUE	18606332	250	CML496
SRR6176218	kernel	CML69		1	m194	TRUE	16242988	250	CML69
SRR6176219	kernel	CA47		1	m195	TRUE	17716081	250	CA47
SRR6176220	kernel	CF773-2		1	m196	TRUE	17495903	250	CF773-2
SRR6176221	kernel	BY855		1	m197	TRUE	15310129	250	BY855
SRR6176222	kernel	BZN		1	m198	TRUE	18446993	250	BZN
SRR6176223	kernel	BY813		1	m199	TRUE	19744687	250	BY813
SRR6176224	kernel	BY815		1	m200	TRUE	17319448	250	BY815
SRR6176225	kernel	BY807		1	m201	TRUE	16602889	250	BY807
SRR6176226	kernel	BY809		1	m202	TRUE	15575873	250	BY809
SRR6176227	kernel	CIMBL42		1	m203	TRUE	16337133	250	CIMBL42
SRR6176228	kernel	CHANG3		1	m204	TRUE	11113105	250	CHANG3
SRR6176229	kernel	CHANG7-2		1	m205	TRUE	19354671	250	CHANG7-2
SRR6176230	kernel	CIMBL47		1	m206	TRUE	2641209	250	CIMBL47
SRR6176231	kernel	CIMBL147		1	m207	TRUE	15526223	250	CIMBL147
SRR6176232	kernel	GEMS25		1	m208	TRUE	18539364	250	GEMS25
SRR6176233	kernel	GEMS28		1	m209	TRUE	20441519	250	GEMS28
SRR6176234	kernel	GEMS29		1	m210	TRUE	17833197	250	GEMS29
SRR6176235	kernel	GEMS2		1	m211	TRUE	16953215	250	GEMS2
SRR6176236	kernel	GEMS1		1	m212	TRUE	18931049	250	GEMS1
SRR6176237	kernel	GEMS20		1	m213	TRUE	19562402	250	GEMS20
SRR6176238	kernel	GEMS21		1	m214	TRUE	14978643	250	GEMS21
SRR6176239	kernel	GEMS23		1	m215	TRUE	19165135	250	GEMS23
SRR6176240	kernel	GEMS31		1	m216	TRUE	17356588	250	GEMS31
SRR6176241	kernel	GEMS32		1	m217	TRUE	39510960	250	GEMS32
SRR6176242	kernel	CML327		1	m218	TRUE	17784559	250	CML327
SRR6176243	kernel	CML325		1	m219	TRUE	16434535	250	CML325
SRR6176244	kernel	CML338		1	m220	TRUE	16331710	250	CML338
SRR6176245	kernel	CML32		1	m221	TRUE	20454697	250	CML32
SRR6176246	kernel	CML31		1	m222	TRUE	18007226	250	CML31
SRR6176247	kernel	CML304		1	m223	TRUE	18823300	250	CML304
SRR6176248	kernel	CML324		1	m224	TRUE	18384760	250	CML324
SRR6176249	kernel	CML323		1	m225	TRUE	17873088	250	CML323
SRR6176250	kernel	TIAN77		1	m226	TRUE	16022890	250	TIAN77
SRR6176251	kernel	TY11		1	m227	TRUE	28230811	250	TY11
SRR6176252	kernel	TY1		1	m228	TRUE	18484216	250	TY1
SRR6176253	kernel	TY2		1	m229	TRUE	17648179	250	TY2
SRR6176254	kernel	CML411		1	m230	TRUE	2804959	250	CML411
SRR6176255	kernel	CML361		1	m231	TRUE	16817092	250	CML361
SRR6176256	kernel	SY1039		1	m232	TRUE	16930794	250	SY1039
SRR6176257	kernel	SY1052		1	m233	TRUE	21786595	250	SY1052
SRR6176258	kernel	CIMBL102		1	m234	TRUE	15811289	250	CIMBL102
SRR6176259	kernel	CIMBL100		1	m235	TRUE	20073690	250	CIMBL100
SRR6176260	kernel	CHUAN48-2		1	m236	TRUE	19190599	250	CHUAN48-2
SRR6176261	kernel	CHENG698		1	m237	TRUE	16964378	250	CHENG698
SRR6176262	kernel	CIMBL109		1	m238	TRUE	18979175	250	CIMBL109
SRR6176263	kernel	CIMBL108		1	m239	TRUE	21427176	250	CIMBL108
SRR6176264	kernel	CIMBL106		1	m240	TRUE	21390071	250	CIMBL106
SRR6176265	kernel	CIMBL105		1	m241	TRUE	17810268	250	CIMBL105
SRR6176266	kernel	CIMBL111		1	m242	TRUE	22301939	250	CIMBL111
SRR6176267	kernel	CIMBL10		1	m243	TRUE	18889978	250	CIMBL10
SRR6176268	kernel	GEMS18		1	m244	TRUE	22278742	250	GEMS18
SRR6176269	kernel	GEMS19		1	m245	TRUE	25968911	250	GEMS19
SRR6176270	kernel	YE515		1	m246	TRUE	21976319	250	YE515
SRR6176271	kernel	ES40		1	m247	TRUE	14367167	250	ES40
SRR6176272	kernel	FCD0602		1	m248	TRUE	16733393	250	FCD0602
SRR6176273	kernel	GEMS11		1	m249	TRUE	27696855	250	GEMS11
SRR6176274	kernel	GEMS13		1	m250	TRUE	16016687	250	GEMS13
SRR6176275	kernel	GEMS14		1	m251	TRUE	17076609	250	GEMS14
SRR6176276	kernel	GEMS15		1	m252	TRUE	2559094	250	GEMS15
SRR6176277	kernel	GEMS16		1	m253	TRUE	25467784	250	GEMS16
SRR6176278	kernel	GEMS17		1	m254	TRUE	18020753	250	GEMS17
SRR6176279	kernel	GEMS37		1	m255	TRUE	19531029	250	GEMS37
SRR6176280	kernel	GEMS36		1	m256	TRUE	19210102	250	GEMS36
SRR6176281	kernel	GEMS35		1	m257	TRUE	19038577	250	GEMS35
SRR6176282	kernel	GEMS33		1	m258	TRUE	16949483	250	GEMS33
SRR6176283	kernel	GEMS42		1	m259	TRUE	18112426	250	GEMS42
SRR6176284	kernel	GEMS40		1	m260	TRUE	17217661	250	GEMS40
SRR6176285	kernel	GEMS3		1	m261	TRUE	19873764	250	GEMS3
SRR6176286	kernel	GEMS39		1	m262	TRUE	22926545	250	GEMS39
SRR6176287	kernel	CIMBL22		1	m263	TRUE	18328876	250	CIMBL22
SRR6176288	kernel	GEMS48		1	m264	TRUE	17995155	250	GEMS48
SRR6176289	kernel	GEMS44		1	m265	TRUE	16899828	250	GEMS44
SRR6176290	kernel	CIMBL2		1	m266	TRUE	17465460	250	CIMBL2
SRR6176291	kernel	CIMBL5		1	m267	TRUE	19569586	250	CIMBL5
SRR6176292	kernel	CIMBL60		1	m268	TRUE	21022945	250	CIMBL60
SRR6176293	kernel	CIMBL62		1	m269	TRUE	22479275	250	CIMBL62
SRR6176294	kernel	CIMBL63		1	m270	TRUE	19263152	250	CIMBL63
SRR6176295	kernel	CIMBL66		1	m271	TRUE	17890883	250	CIMBL66
SRR6176296	kernel	CIMBL68		1	m272	TRUE	21037361	250	CIMBL68
SRR6176297	kernel	CIMBL69		1	m273	TRUE	25403362	250	CIMBL69
SRR6176298	kernel	CIMBL6		1	m274	TRUE	19366530	250	CIMBL6
SRR6176299	kernel	CIMBL70		1	m275	TRUE	17689111	250	CIMBL70
SRR6176300	kernel	CIMBL71		1	m276	TRUE	17383479	250	CIMBL71
SRR6176301	kernel	TY6		1	m277	TRUE	16851802	250	TY6
SRR6176302	kernel	TY5		1	m278	TRUE	18384573	250	TY5
SRR6176303	kernel	Y1382		1	m279	TRUE	19008582	250	Y1382
SRR6176304	kernel	WU109		1	m280	TRUE	19505390	250	WU109
SRR6176305	kernel	WH413		1	m281	TRUE	20091663	250	WH413
SRR6176306	kernel	W138		1	m282	TRUE	22914245	250	W138
SRR6176307	kernel	YE8001		1	m283	TRUE	17767102	250	YE8001
SRR6176308	kernel	335M		1	m284	TRUE	2673388	250	335M
SRR6176309	kernel	TY3		1	m285	TRUE	20654871	250	TY3
SRR6176310	kernel	CIMBL32		1	m286	TRUE	9068680	250	CIMBL32
SRR6176311	kernel	DONG237		1	m287	TRUE	5567806	250	DONG237
SRR6176312	kernel	DH3732		1	m288	TRUE	17008699	250	DH3732
SRR6176313	kernel	DAN599		1	m289	TRUE	22531585	250	DAN599
SRR6176314	kernel	DAN4245		1	m290	TRUE	3937441	250	DAN4245
SRR6176315	kernel	DAN360		1	m291	TRUE	17090825	250	DAN360
SRR6176316	kernel	DAN340		1	m292	TRUE	18685629	250	DAN340
SRR6176317	kernel	DAN3130		1	m293	TRUE	14209715	250	DAN3130
SRR6176319	kernel	GEMS58		1	m295	TRUE	17475826	250	GEMS58
SRR6176320	kernel	GEMS59		1	m296	TRUE	18289674	250	GEMS59
SRR6176321	kernel	GEMS54		1	m297	TRUE	19031589	250	GEMS54
SRR6176322	kernel	GEMS55		1	m298	TRUE	13268942	250	GEMS55
SRR6176323	kernel	GEMS50		1	m299	TRUE	16618086	250	GEMS50
SRR6176324	kernel	GEMS51		1	m300	TRUE	21111105	250	GEMS51
SRR6176325	kernel	EN25		1	m301	TRUE	20993761	250	EN25
SRR6176326	kernel	DONG46		1	m302	TRUE	15633597	250	DONG46
SRR6176327	kernel	4019		1	m303	TRUE	16644012	250	4019
SRR6176328	kernel	CIMBL59		1	m304	TRUE	26122188	250	CIMBL59
SRR6176329	kernel	CIMBL58		1	m305	TRUE	17924812	250	CIMBL58
SRR6176330	kernel	CIMBL55		1	m306	TRUE	19689616	250	CIMBL55
SRR6176331	kernel	CIMBL54		1	m307	TRUE	19123836	250	CIMBL54
SRR6176332	kernel	CIMBL53		1	m308	TRUE	19904838	250	CIMBL53
SRR6176333	kernel	CIMBL52		1	m309	TRUE	17388219	250	CIMBL52
SRR6176334	kernel	CIMBL51		1	m310	TRUE	16934853	250	CIMBL51
SRR6176335	kernel	CIMBL50		1	m311	TRUE	21704072	250	CIMBL50
SRR6176336	kernel	CIMBL4		1	m312	TRUE	17752703	250	CIMBL4
SRR6176337	kernel	CIMBL49		1	m313	TRUE	22340407	250	CIMBL49
SRR6176338	kernel	TY-HZ4		1	m314	TRUE	22040912	250	TY-HZ4
SRR6176339	kernel	CIMBL28		1	m315	TRUE	18463196	250	CIMBL28
SRR6176340	kernel	GEMS5		1	m316	TRUE	16393219	250	GEMS5
SRR6176341	kernel	CIMBL27		1	m317	TRUE	13734454	250	CIMBL27
SRR6176342	kernel	CIMBL25		1	m318	TRUE	17530874	250	CIMBL25
